,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
278,925923,6,8,Bad,,Several times a week,177.0,79.0,Female,1964
279,925999,3,7,Very good,,Less than once a month,180.0,67.0,Male,1961
280,926026,9,9,Very good,,Once a week,167.0,63.0,Female,1976
281,926034,7,Extremely happy,Very good,20.0,Once a week,173.0,72.0,Male,1956
282,926050,7,9,Very good,10.0,2-3 times a month,166.0,58.0,Female,1974
283,926092,7,9,Fair,15.0,2-3 times a month,173.0,115.0,Female,1975
284,926107,5,8,Very good,,Less than once a month,187.0,84.0,Male,1999
285,926115,9,9,Very good,,2-3 times a month,170.0,58.0,Female,1961
286,926131,8,9,Very good,,Less than once a month,176.0,79.0,Female,1982
287,926149,Most people can be trusted,5,Very good,,Several times a week,198.0,105.0,Male,1956
288,926181,5,8,Very bad,,Every day,183.0,66.0,Male,1962
289,926199,5,7,Very good,,Once a month,175.0,66.1,Female,1979
290,926238,4,9,Very good,10.0,2-3 times a month,169.0,56.0,Female,1969
291,926246,5,5,Fair,,Never,150.0,53.0,Female,1969
292,926288,Most people can be trusted,9,Very good,,2-3 times a month,160.0,59.0,Female,1951
293,926319,7,8,Good,13.0,Never,172.0,62.0,Male,1957
294,926343,2,Extremely happy,Very good,,Several times a week,189.0,80.0,Male,1987
295,926351,8,9,Very good,,Once a week,170.0,60.0,Female,1973
296,926377,5,8,Fair,20.0,Once a week,176.0,82.0,Male,1951
297,926385,8,8,Very good,,Once a week,176.0,73.0,Male,1943
298,926408,7,8,Very good,,Once a week,172.0,76.0,Male,1945
299,926458,8,7,Very good,15.0,Once a week,172.0,77.0,Male,1986
300,926513,7,9,Good,,Once a week,159.0,72.0,Female,1948
301,926539,7,8,Very good,0.0,Once a week,165.0,59.0,Female,1994
302,926555,6,8,Very good,,Less than once a month,183.0,75.0,Male,1995
303,926563,7,8,Fair,,Never,195.0,66.0,Male,1997
304,926589,9,Extremely happy,Good,,Several times a week,172.0,68.0,Male,1965
305,926597,6,7,Good,,Less than once a month,173.0,68.0,Female,1978
306,926652,3,7,Good,,2-3 times a month,172.0,62.0,Female,1990
307,926660,3,5,Good,,Once a week,186.0,66.0,Male,1965
308,926678,9,9,Very good,,Less than once a month,180.0,85.0,Male,1941
